id;amount;created_date;recovery_date;updated_date
1;48469;2024-02-01T00:48:28;2024-01-31T14:45:58;2024-01-31T14:44:46
2;74309;2024-01-31T10:47:47;2024-01-31T14:05:33;2024-01-31T16:28:33
3;34818;2024-01-31T09:16:11;2024-01-31T17:17:35;2024-01-31T16:02:55
4;57039;2024-01-31T16:23:48;2024-02-01T07:02:24;2024-01-31T15:45:10
5;20742;2024-01-31T19:15:29;2024-02-01T02:13:30;2024-01-31T10:22:34
6;77186;2024-01-31T20:44:46;2024-01-31T20:29:22;2024-01-31T21:51:40
7;39702;2024-01-31T20:50:37;2024-01-31T13:50:27;2024-01-31T20:33:08
8;96360;2024-01-31T17:46:07;2024-01-31T13:19:17;2024-02-01T01:21:16
9;17935;2024-01-31T11:25:53;2024-01-31T17:48:39;2024-01-31T23:51:51
10;67206;2024-02-01T08:12:11;2024-01-31T11:37:53;2024-01-31T21:13:10
