id;amount;created_date;recovery_date;updated_date
1;25734;2024-01-31T13:19:04;2024-02-01T04:15:12;2024-01-31T11:52:08
2;9260;2024-02-01T08:15:37;2024-01-31T12:34:34;2024-02-01T00:18:17
3;55782;2024-01-31T15:26:18;2024-01-31T13:20:03;2024-02-01T00:00:37
4;8336;2024-02-01T05:08:43;2024-02-01T04:03:51;2024-01-31T15:43:58
5;22084;2024-02-01T07:04:30;2024-01-31T19:20:18;2024-01-31T22:07:26
6;95333;2024-01-31T18:24:26;2024-02-01T01:58:52;2024-02-01T05:49:50
7;17921;2024-02-01T07:00:04;2024-02-01T07:38:17;2024-01-31T15:45:18
8;741;2024-02-01T05:43:48;2024-02-01T05:42:25;2024-01-31T14:07:36
9;52751;2024-01-31T23:45:51;2024-01-31T21:57:25;2024-01-31T10:36:52
10;35528;2024-01-31T20:33:41;2024-01-31T10:40:14;2024-02-01T02:33:35
